nodeA,nodeB,weight
andal,daario,3
mormont,naharis,1
daario,targaryen,2
kindness,targaryen,1
clegane,shut,1
brienne,kidney,1
pie,starks,1
podrick,sansa,4
sansa,sansa,1
hound,podrick,3
brienne,frey,1
arryn,podrick,1
arryn,stark's,1
robin,winterfell,2
lysa,sansa,1
grenn,jack,1
ed,jack,1
andal,worm,2
stormborn,worm,1
missandei,worm,3
missandei,stormborn,1
bolton,bracken,1
greyjoy,ralf,2
bolton,ralf,2
ironborn,ralf,1
royce,vale,2
petyr,vale,6
arryn,petyr,4
royce,whoremonger,1
arryn,royce,2
anya,arryn,2
anya,baelish,3
baelish,baelish,5
royce,speak,1
royce,stark,5
stark,waymar,2
royce,waymar,1
baelish,cersei,8
cersei,vale,1
anya,sansa,1
royce,sansa,2
baelish,royce,6
anya,shh,1
petyr,stark,4
baratheon,petyr,1
king,petyr,1
baratheon,vale,2
king,vale,2
lysa,petyr,1
lysa,stark,1
anya,stark,1
petyr,robin,2
baratheon,barristan,1
roose,warden,1
clegane,hound,3
arryn,clegane,2
arryn,hound,1
arryn,guard,1
lannister,orson,8
khuu,together,3
khuu,khuu,4
khuu,lannister,2
khuu,orson,2
lannister,volarik,1
orson,orson,3
martell,size,1
lannister,pycell,1
martell,martell,4
martell,mountain,1
gilly,snow,2
sheila,tormund,1
crow,styr,1
pyp,thorne,1
pyp,walker,1
crows,tormund,1
alliser,slynt,1
alliser,grenn,1
alliser,sam,2
ed,snow,1
donnel,snow,1
jeor,snow,1
kullback,mance,1
mance,wanna,1
snow,wanna,1
lannister,martells,1
missandei,rhoynar,1
calla,fennesz,1
man,valyrian,2
missandei,valyrian,1
queen,valyrian,1
missandei,zala,1
snow,tormund,5
girl,stark,1
man,stark,3
said,stark,1
brienne,clegane,1
mopatis,varys,1
baratheon,varys,2
varys,westeros,4
baratheon,mopatis,1
mopatis,westeros,1
rat,worm,1
missandei,nudho,2
melisandre,snow,9
baratheon,stark's,2
baratheon,winterfell,2
baratheon,mance,1
baratheon,hurry,1
baratheon,snow,3
hurry,snow,1
baelish,robin,1
podrick,stark,5
dorne,olyvar,2
olyvar,sunsnake,1
